sample,treatment,time,rna_isolation_batch,purification_procedure,sequencing_batch
E02_1,ethanol,2,i,b,A
E02_2,ethanol,2,b,a,A
E02_3,ethanol,2,b,a,A
E02_4,ethanol,2,d,a,A
E02_5,ethanol,2,g,b,B
E02_6,ethanol,2,a,a,B
E06_1,ethanol,6,h,b,B
E06_2,ethanol,6,b,a,B
E06_3,ethanol,6,b,a,B
E06_4,ethanol,6,a,a,B
E06_5,ethanol,6,c,a,B
E24_1,ethanol,24,d,a,B
E24_2,ethanol,24,e,b,B
E24_3,ethanol,24,d,a,B
E24_4,ethanol,24,c,a,B
E24_6,ethanol,24,c,a,B
M02_1,millimolar_solanoeclepinA,2,h,b,B
M02_2,millimolar_solanoeclepinA,2,b,a,B
M02_3,millimolar_solanoeclepinA,2,i,c,B
M02_4,millimolar_solanoeclepinA,2,a,b,B
M02_5,millimolar_solanoeclepinA,2,d,b,B
M06_1,millimolar_solanoeclepinA,6,d,b,B
M06_2,millimolar_solanoeclepinA,6,i,c,B
M06_4,millimolar_solanoeclepinA,6,h,b,B
M06_5,millimolar_solanoeclepinA,6,g,b,B
M06_6,millimolar_solanoeclepinA,6,g,c,B
M24_1,millimolar_solanoeclepinA,24,h,b,B
M24_2,millimolar_solanoeclepinA,24,h,b,B
M24_3,millimolar_solanoeclepinA,24,g,c,B
M24_5,millimolar_solanoeclepinA,24,c,a,B
M24_6,millimolar_solanoeclepinA,24,b,a,B
N02_1,nanomolar_solanoeclepinA,2,h,b,B
N02_2,nanomolar_solanoeclepinA,2,a,a,B
N02_3,nanomolar_solanoeclepinA,2,b,a,B
N02_4,nanomolar_solanoeclepinA,2,g,c,B
N02_5,nanomolar_solanoeclepinA,2,e,b,B
N06_1,nanomolar_solanoeclepinA,6,g,c,B
N06_2,nanomolar_solanoeclepinA,6,h,c,B
N06_3,nanomolar_solanoeclepinA,6,g,c,B
N06_5,nanomolar_solanoeclepinA,6,a,a,B
N06_6,nanomolar_solanoeclepinA,6,d,a,B
N24_1,nanomolar_solanoeclepinA,24,h,b,B
N24_2,nanomolar_solanoeclepinA,24,h,b,B
N24_3,nanomolar_solanoeclepinA,24,i,c,B
N24_4,nanomolar_solanoeclepinA,24,h,b,B
N24_6,nanomolar_solanoeclepinA,24,g,b,A